,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,honest-burgers-london-2,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.513388, 'longitude': -0.132943}",+44 20 3609 9524,217.35040954004873,zdyKTWY6jDasd6Q8BEJdAw,https://s3-media4.fl.yelpcdn.com/bphoto/jLob71q_7i4mJBah0J11HQ/o.jpg,False,"{'address1': '4A Meard Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'W1F 0EF', 'country': 'GB', 'state': 'XGL', 'display_address': ['4A Meard Street', 'London W1F 0EF', 'United Kingdom']}",Honest Burgers,+442036099524,££,4.5,261,[],https://www.yelp.com/biz/honest-burgers-london-2?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
1,patty-and-bun-london,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.515786, 'longitude': -0.150785}",+44 20 7487 3188,1074.4124868685244,Y775ayDb-qviW7Ys_uzxEQ,https://s3-media2.fl.yelpcdn.com/bphoto/HTHzj4VAJfXRvaQ0xvELHA/o.jpg,False,"{'address1': '54 James Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'W1U 1HE', 'country': 'GB', 'state': 'XGL', 'display_address': ['54 James Street', 'London W1U 1HE', 'United Kingdom']}",Patty & Bun,+442074873188,££,4.5,183,[],https://www.yelp.com/biz/patty-and-bun-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
2,bleecker-london,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5191762, 'longitude': -0.0759276}",+44 20 7998 8650,4213.129343766938,dCiaCmNaAF17aySlT24lQQ,https://s3-media1.fl.yelpcdn.com/bphoto/khr_HfzfO8aKBj9JnjiDKQ/o.jpg,False,"{'address1': 'Unit B SP 4', 'address2': 'Old Spitalfields Market', 'address3': 'Pavilion Building', 'city': 'London', 'zip_code': 'E1 6EA', 'country': 'GB', 'state': 'XGL', 'display_address': ['Unit B SP 4', 'Old Spitalfields Market', 'Pavilion Building', 'London E1 6EA', 'United Kingdom']}",Bleecker,+442079988650,££,4.5,81,[],https://www.yelp.com/biz/bleecker-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
3,burger-and-lobster-mayfair,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 51.5069919134923, 'longitude': -0.145631313738818}",+44 20 7409 1699,933.0444150991333,otUz0bAJLkorJkMgEjRErA,https://s3-media1.fl.yelpcdn.com/bphoto/j5wK7gPhlIIzxv1D53_qGw/o.jpg,False,"{'address1': '29 Clarges Street', 'address2': '', 'address3': '', 'city': 'Mayfair', 'zip_code': 'W1J 7EF', 'country': 'GB', 'state': 'XGL', 'display_address': ['29 Clarges Street', 'Mayfair W1J 7EF', 'United Kingdom']}",Burger & Lobster,+442074091699,£££,4.5,211,[],https://www.yelp.com/biz/burger-and-lobster-mayfair?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
4,tommis-burger-joint-london-5,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5146495463552, 'longitude': -0.135671171163949}",+44 20 7494 9086,202.66958763533574,EFHihOZjaHYRg_ZfNUv7hg,https://s3-media3.fl.yelpcdn.com/bphoto/s1khcKvsP3HiVjIGKKlHyw/o.jpg,False,"{'address1': '37 Berwick Street', 'address2': None, 'address3': '', 'city': 'London', 'zip_code': 'W1F 0BP', 'country': 'GB', 'state': 'XGL', 'display_address': ['37 Berwick Street', 'London W1F 0BP', 'United Kingdom']}",Tommi's Burger Joint,+442074949086,,5.0,7,[],https://www.yelp.com/biz/tommis-burger-joint-london-5?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
5,bleecker-london-2,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.505586, 'longitude': -0.118089}",,1476.054991451423,blWFwjUFxToRSoFOPqw7oA,https://s3-media2.fl.yelpcdn.com/bphoto/lmvvPVM_-qaB82JxrwmLhA/o.jpg,False,"{'address1': 'Under the Bridge Riverside Level', 'address2': ""Royal Festival Hall The Queen's Walk"", 'address3': '', 'city': 'London', 'zip_code': 'W5 1TP', 'country': 'GB', 'state': 'XGL', 'display_address': ['Under the Bridge Riverside Level', ""Royal Festival Hall The Queen's Walk"", 'London W5 1TP', 'United Kingdom']}",Bleecker,,£,4.5,29,[],https://www.yelp.com/biz/bleecker-london-2?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
6,burger-and-shake-london,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.525005, 'longitude': -0.125415}",+44 20 7837 7718,1531.857146655693,8gqkjHd2E7PHYWNfw0DVvg,https://s3-media2.fl.yelpcdn.com/bphoto/f9mnmPpqG1i0bHyNxVUpLA/o.jpg,False,"{'address1': '47 Marchmont Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'WC1N 1AP', 'country': 'GB', 'state': 'XGL', 'display_address': ['47 Marchmont Street', 'London WC1N 1AP', 'United Kingdom']}",Burger and Shake,+442078377718,££,4.0,52,[],https://www.yelp.com/biz/burger-and-shake-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
7,meatliquor-n1-london,"[{'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.539127, 'longitude': -0.102699}",+44 20 3711 0104,3728.033139046237,ZfnyPIKExgsYukYiZ8FiqA,https://s3-media2.fl.yelpcdn.com/bphoto/32myf1Z-r_u9b-ylj-CsKw/o.jpg,False,"{'address1': '133b Upper Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'N1 1QP', 'country': 'GB', 'state': 'XGL', 'display_address': ['133b Upper Street', 'London N1 1QP', 'United Kingdom']}",MEATliquor N1,+442037110104,££,4.0,24,[],https://www.yelp.com/biz/meatliquor-n1-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
8,dirty-bones-soho-london,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.510811, 'longitude': -0.135314}",+44 20 3019 9064,229.45587427086852,PymJ3yWM5SaZC8QH89ZEBw,https://s3-media1.fl.yelpcdn.com/bphoto/A20UinErX2PkEh-8dS4d5Q/o.jpg,False,"{'address1': '14 Denman Street', 'address2': '', 'address3': None, 'city': 'London', 'zip_code': 'W1D 7HJ', 'country': 'GB', 'state': 'XGL', 'display_address': ['14 Denman Street', 'London W1D 7HJ', 'United Kingdom']}",Dirty Bones Soho,+442030199064,,4.5,13,[],https://www.yelp.com/biz/dirty-bones-soho-london?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
9,burger-and-lobster-london-2,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 51.5135487, 'longitude': -0.1322316}",+44 20 7432 4800,264.0317057366537,ECyM2jq83wTVQrf9CEI01A,https://s3-media3.fl.yelpcdn.com/bphoto/6nZaRLqM39LKX_uPXmSiGg/o.jpg,False,"{'address1': '36 Dean Street', 'address2': '', 'address3': '', 'city': 'London', 'zip_code': 'W1D 4PS', 'country': 'GB', 'state': 'XGL', 'display_address': ['36 Dean Street', 'London W1D 4PS', 'United Kingdom']}",Burger & Lobster,+442074324800,££,4.0,278,[],https://www.yelp.com/biz/burger-and-lobster-london-2?adjust_creative=kCJzsnK_Zb_iwf5c9JgXcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kCJzsnK_Zb_iwf5c9JgXcg
